ID|Transcription|Normalized Transcription
|Малити Георги|Малити Георги
|Гоби|Гоби
|Цæмæн фæдтæн æз фур гоби,-|Цæмæн фæдтæн æз фур гоби,-
|Ко дæ цирти, уо, мæ мадæ!|Ко дæ цирти, уо, мæ мадæ!
|Цæмæн дæн, цума, мæ доги|Цæмæн дæн, цума, мæ доги
|æз ме 'нгарти 'хсæн æгадæ?..|æз ме 'нгарти 'хсæн æгадæ?..
|Мæ кавди радæ мед гъаздæ|Мæ кавди радæ мед гъаздæ
|Цæмæн байзайуй иронхи,|Цæмæн байзайуй иронхи,
|Нæ зингæ лæгтæн - гъæйт-мардзæ-|Нæ зингæ лæгтæн - гъæйт-мардзæ-
|Цæмæн нæ цæун сæ тонхи?...|Цæмæн нæ цæун сæ тонхи?...
|Цæмæн фаунцæ æноси|Цæмæн фаунцæ æноси
|Мæн гобий номæй фæсевæд?|Мæн гобий номæй фæсевæд?
|Кай ме'рвадæ мæ фалдзоси,|Кай ме'рвадæ мæ фалдзоси,
|Кæмæн гъарон мæ тæрегъæд!..|Кæмæн гъарон мæ тæрегъæд!..
|Ку нæййес мæнæн фæндæндтæ,|Ку нæййес мæнæн фæндæндтæ,
|Хæрсæнау косун хæдзари,|Хæрсæнау косун хæдзари,
|Мæ зин сагъæстæ, мæ сæнттæ|Мæ зин сагъæстæ, мæ сæнттæ
|Некæд ракæнун мæ зари...|Некæд ракæнун мæ зари...
|1916|FIXME1916
